INSTANCE,ITEMS,BINS,HEURISTICS,WASTE (OBJ)
GA-AWF_EASY_100_060.bpp,100,23,"{'FFIT': 2, 'BFIT': 93, 'WFIT': 2, 'AWFIT': 3}",0.8951
GA-AWF_EASY_100_060.bpp,100,23,"{'FFIT': 1, 'BFIT': 98, 'WFIT': 1, 'AWFIT': 0}",0.8951
GA-AWF_EASY_100_060.bpp,100,23,"{'FFIT': 90, 'BFIT': 8, 'WFIT': 1, 'AWFIT': 1}",0.8951
GA-AWF_EASY_100_082.bpp,100,24,"{'FFIT': 14, 'BFIT': 2, 'WFIT': 0, 'AWFIT': 84}",0.9595
GA-AWF_EASY_100_082.bpp,100,25,"{'FFIT': 3, 'BFIT': 1, 'WFIT': 84, 'AWFIT': 12}",0.8792
GA-AWF_EASY_100_082.bpp,100,25,"{'FFIT': 1, 'BFIT': 9, 'WFIT': 3, 'AWFIT': 87}",0.8812
GA-AWF_EASY_100_046.bpp,100,29,"{'FFIT': 5, 'BFIT': 2, 'WFIT': 87, 'AWFIT': 6}",0.8311
GA-AWF_EASY_100_046.bpp,100,29,"{'FFIT': 35, 'BFIT': 1, 'WFIT': 40, 'AWFIT': 24}",0.8327
GA-AWF_EASY_100_046.bpp,100,29,"{'FFIT': 2, 'BFIT': 88, 'WFIT': 2, 'AWFIT': 8}",0.8338
GA-AWF_EASY_100_052.bpp,100,25,"{'FFIT': 0, 'BFIT': 1, 'WFIT': 96, 'AWFIT': 3}",0.841
GA-AWF_EASY_100_052.bpp,100,25,"{'FFIT': 0, 'BFIT': 1, 'WFIT': 99, 'AWFIT': 0}",0.841
GA-AWF_EASY_100_052.bpp,100,24,"{'FFIT': 2, 'BFIT': 1, 'WFIT': 5, 'AWFIT': 92}",0.9141
GA-AWF_EASY_100_036.bpp,100,26,"{'FFIT': 11, 'BFIT': 2, 'WFIT': 2, 'AWFIT': 85}",0.9138
GA-AWF_EASY_100_036.bpp,100,26,"{'FFIT': 1, 'BFIT': 40, 'WFIT': 0, 'AWFIT': 59}",0.9135
GA-AWF_EASY_100_036.bpp,100,26,"{'FFIT': 1, 'BFIT': 2, 'WFIT': 2, 'AWFIT': 95}",0.9172
GA-FF_EASY_100_066.bpp,100,23,"{'FFIT': 0, 'BFIT': 0, 'WFIT': 95, 'AWFIT': 5}",0.8482
GA-FF_EASY_100_066.bpp,100,22,"{'FFIT': 0, 'BFIT': 95, 'WFIT': 5, 'AWFIT': 0}",0.9097
