INSTANCE,ITEMS,BINS,HEURISTICS,WASTE (OBJ)
GA-WF_EASY_100_070.bpp,100,27,"{'FFIT': 55, 'BFIT': 24, 'WFIT': 11, 'AWFIT': 10}",0.86
GA-WF_EASY_100_070.bpp,100,27,"{'FFIT': 56, 'BFIT': 22, 'WFIT': 12, 'AWFIT': 10}",0.8601
GA-WF_EASY_100_070.bpp,100,26,"{'FFIT': 37, 'BFIT': 28, 'WFIT': 22, 'AWFIT': 13}",0.9191
GA-WF_EASY_100_008.bpp,100,28,"{'FFIT': 53, 'BFIT': 19, 'WFIT': 11, 'AWFIT': 17}",0.8563
GA-WF_EASY_100_008.bpp,100,28,"{'FFIT': 59, 'BFIT': 15, 'WFIT': 6, 'AWFIT': 20}",0.8559
GA-WF_EASY_100_008.bpp,100,28,"{'FFIT': 51, 'BFIT': 13, 'WFIT': 12, 'AWFIT': 24}",0.8562
GA-FF_EASY_100_031.bpp,100,21,"{'FFIT': 60, 'BFIT': 22, 'WFIT': 10, 'AWFIT': 8}",0.9948
GA-FF_EASY_100_031.bpp,100,22,"{'FFIT': 41, 'BFIT': 20, 'WFIT': 25, 'AWFIT': 14}",0.9079
GA-FF_EASY_100_031.bpp,100,22,"{'FFIT': 34, 'BFIT': 18, 'WFIT': 32, 'AWFIT': 16}",0.9091
GA-AWF_EASY_100_029.bpp,100,21,"{'FFIT': 52, 'BFIT': 12, 'WFIT': 11, 'AWFIT': 25}",0.8984
GA-AWF_EASY_100_029.bpp,100,21,"{'FFIT': 64, 'BFIT': 22, 'WFIT': 8, 'AWFIT': 6}",0.9122
GA-AWF_EASY_100_029.bpp,100,21,"{'FFIT': 43, 'BFIT': 25, 'WFIT': 22, 'AWFIT': 10}",0.9002
GA-FF_EASY_100_058.bpp,100,16,"{'FFIT': 55, 'BFIT': 22, 'WFIT': 12, 'AWFIT': 11}",0.9923
GA-FF_EASY_100_058.bpp,100,17,"{'FFIT': 35, 'BFIT': 29, 'WFIT': 13, 'AWFIT': 23}",0.8957
GA-FF_EASY_100_058.bpp,100,17,"{'FFIT': 38, 'BFIT': 26, 'WFIT': 20, 'AWFIT': 16}",0.8848
GA-FF_EASY_100_073.bpp,100,26,"{'FFIT': 23, 'BFIT': 41, 'WFIT': 18, 'AWFIT': 18}",0.852
GA-FF_EASY_100_073.bpp,100,26,"{'FFIT': 28, 'BFIT': 41, 'WFIT': 21, 'AWFIT': 10}",0.8518
GA-FF_EASY_100_073.bpp,100,25,"{'FFIT': 11, 'BFIT': 40, 'WFIT': 32, 'AWFIT': 17}",0.9026
GA-AWF_EASY_100_020.bpp,100,24,"{'FFIT': 35, 'BFIT': 22, 'WFIT': 21, 'AWFIT': 22}",0.9017
GA-AWF_EASY_100_020.bpp,100,24,"{'FFIT': 28, 'BFIT': 19, 'WFIT': 35, 'AWFIT': 18}",0.9018
GA-AWF_EASY_100_020.bpp,100,24,"{'FFIT': 19, 'BFIT': 29, 'WFIT': 27, 'AWFIT': 25}",0.9015
GA-FF_EASY_100_050.bpp,100,21,"{'FFIT': 48, 'BFIT': 19, 'WFIT': 18, 'AWFIT': 15}",0.9051
GA-FF_EASY_100_050.bpp,100,21,"{'FFIT': 40, 'BFIT': 25, 'WFIT': 7, 'AWFIT': 28}",0.9088
GA-FF_EASY_100_050.bpp,100,21,"{'FFIT': 24, 'BFIT': 27, 'WFIT': 27, 'AWFIT': 22}",0.9088
GA-FF_EASY_100_036.bpp,100,25,"{'FFIT': 14, 'BFIT': 35, 'WFIT': 28, 'AWFIT': 23}",0.9119
GA-FF_EASY_100_036.bpp,100,25,"{'FFIT': 34, 'BFIT': 25, 'WFIT': 30, 'AWFIT': 11}",0.915
GA-FF_EASY_100_036.bpp,100,25,"{'FFIT': 16, 'BFIT': 41, 'WFIT': 33, 'AWFIT': 10}",0.915
GA-WF_EASY_100_002.bpp,100,27,"{'FFIT': 57, 'BFIT': 12, 'WFIT': 17, 'AWFIT': 14}",0.8639
GA-WF_EASY_100_002.bpp,100,27,"{'FFIT': 57, 'BFIT': 17, 'WFIT': 20, 'AWFIT': 6}",0.8655
GA-WF_EASY_100_002.bpp,100,27,"{'FFIT': 47, 'BFIT': 16, 'WFIT': 25, 'AWFIT': 12}",0.8631
GA-BF_EASY_100_074.bpp,100,25,"{'FFIT': 60, 'BFIT': 14, 'WFIT': 11, 'AWFIT': 15}",0.8463
GA-BF_EASY_100_074.bpp,100,25,"{'FFIT': 58, 'BFIT': 19, 'WFIT': 9, 'AWFIT': 14}",0.8475
GA-BF_EASY_100_074.bpp,100,24,"{'FFIT': 58, 'BFIT': 14, 'WFIT': 13, 'AWFIT': 15}",0.9158
GA-AWF_EASY_100_065.bpp,100,29,"{'FFIT': 62, 'BFIT': 21, 'WFIT': 11, 'AWFIT': 6}",0.8667
GA-AWF_EASY_100_065.bpp,100,29,"{'FFIT': 44, 'BFIT': 22, 'WFIT': 18, 'AWFIT': 16}",0.867
GA-AWF_EASY_100_065.bpp,100,29,"{'FFIT': 44, 'BFIT': 15, 'WFIT': 21, 'AWFIT': 20}",0.8671
GA-BF_EASY_100_045.bpp,100,26,"{'FFIT': 29, 'BFIT': 28, 'WFIT': 22, 'AWFIT': 21}",0.8811
GA-BF_EASY_100_045.bpp,100,28,"{'FFIT': 35, 'BFIT': 34, 'WFIT': 19, 'AWFIT': 12}",0.7749
GA-BF_EASY_100_045.bpp,100,28,"{'FFIT': 28, 'BFIT': 25, 'WFIT': 37, 'AWFIT': 10}",0.7737
GA-BF_EASY_100_036.bpp,100,20,"{'FFIT': 40, 'BFIT': 26, 'WFIT': 18, 'AWFIT': 16}",0.8359
GA-BF_EASY_100_036.bpp,100,20,"{'FFIT': 14, 'BFIT': 37, 'WFIT': 31, 'AWFIT': 18}",0.8346
GA-BF_EASY_100_036.bpp,100,20,"{'FFIT': 41, 'BFIT': 28, 'WFIT': 20, 'AWFIT': 11}",0.8361
GA-BF_EASY_100_053.bpp,100,20,"{'FFIT': 51, 'BFIT': 17, 'WFIT': 19, 'AWFIT': 13}",0.822
GA-BF_EASY_100_053.bpp,100,19,"{'FFIT': 67, 'BFIT': 15, 'WFIT': 8, 'AWFIT': 10}",0.9017
GA-BF_EASY_100_053.bpp,100,19,"{'FFIT': 42, 'BFIT': 31, 'WFIT': 10, 'AWFIT': 17}",0.9011
GA-BF_EASY_100_046.bpp,100,21,"{'FFIT': 42, 'BFIT': 22, 'WFIT': 13, 'AWFIT': 23}",0.908
GA-BF_EASY_100_046.bpp,100,22,"{'FFIT': 33, 'BFIT': 31, 'WFIT': 22, 'AWFIT': 14}",0.8378
GA-BF_EASY_100_046.bpp,100,21,"{'FFIT': 50, 'BFIT': 24, 'WFIT': 12, 'AWFIT': 14}",0.9077
GA-BF_EASY_100_090.bpp,100,18,"{'FFIT': 49, 'BFIT': 19, 'WFIT': 20, 'AWFIT': 12}",0.8989
GA-BF_EASY_100_090.bpp,100,19,"{'FFIT': 34, 'BFIT': 20, 'WFIT': 17, 'AWFIT': 29}",0.8158
GA-BF_EASY_100_090.bpp,100,19,"{'FFIT': 24, 'BFIT': 36, 'WFIT': 33, 'AWFIT': 7}",0.8158
GA-FF_EASY_100_021.bpp,100,21,"{'FFIT': 45, 'BFIT': 26, 'WFIT': 20, 'AWFIT': 9}",0.9029
GA-FF_EASY_100_021.bpp,100,21,"{'FFIT': 57, 'BFIT': 29, 'WFIT': 8, 'AWFIT': 6}",0.9029
